page_id,page_title,page_type,city_cluster,intent_cluster,primary_keyword,secondary_keyword,answer_first_section,faq_count,schema_type,internal_links_added,cta_type,content_status,ai_visibility_goal,priority_level
P001,Property Management Services,Service Page,Los Angeles,Service Evaluation,property management services los angeles,la property management company,Yes,5,LocalBusiness,4,Schedule Consultation,Optimized,Improve service-query visibility,High
P002,Los Angeles Property Management Cost Guide,Guide Page,Los Angeles,Pricing,property management cost los angeles,property management fees la,Yes,6,Article,5,Request Rental Analysis,Draft,Support pricing-related AI answers,High
P003,Santa Monica Property Management,City Page,Santa Monica,Local Service Search,santa monica property management,property manager santa monica,Yes,5,LocalBusiness,3,Contact Form,Optimized,Improve city-level local search visibility,High
P004,Beverly Hills Property Management,City Page,Beverly Hills,Local Service Search,beverly hills property management,luxury property manager beverly hills,Yes,4,LocalBusiness,3,Schedule Consultation,Needs Update,Support luxury owner search intent,High
P005,West Hollywood Property Management,City Page,West Hollywood,Local Service Search,west hollywood property management,rental management west hollywood,Yes,4,LocalBusiness,2,Contact Form,Draft,Improve local service-area coverage,Medium
P006,Brentwood Property Management,City Page,Brentwood,Local Service Search,brentwood property management,property manager brentwood ca,Yes,4,LocalBusiness,2,Schedule Consultation,Draft,Expand city-page footprint,Medium
P007,Malibu Property Management,City Page,Malibu,Local Service Search,malibu property management,luxury rental management malibu,Yes,5,LocalBusiness,3,Request Rental Analysis,Needs Update,Support high-value owner visibility,High
P008,Owner FAQ Hub,FAQ Page,Los Angeles,Owner Education,property management questions landlords ask,landlord property management faq,Yes,12,FAQPage,6,Schedule Consultation,Optimized,Improve answer-engine coverage,High
P009,How to Choose a Property Manager,Guide Page,Los Angeles,Provider Comparison,how to choose a property manager,property management company comparison,Yes,7,Article,5,Schedule Consultation,Draft,Support comparison-intent searches,Medium
P010,Vacancy Marketing Services,Service Page,Los Angeles,Service Evaluation,rental vacancy marketing services,leasing and vacancy management,Yes,5,Service,4,Request Consultation,Needs Update,Improve service clarity and conversion,Medium
P011,Maintenance Coordination Services,Service Page,Los Angeles,Service Evaluation,property maintenance coordination,maintenance management for rentals,Yes,5,Service,3,Contact Form,Draft,Support operational service visibility,Medium
P012,Property Management Blog Index,Blog Index,Los Angeles,Educational Research,property management advice los angeles,landlord tips los angeles,No,0,CollectionPage,8,Read Articles,Needs Update,Connect blogs to service pages,Low
